ts,agent_id,throttle,steer,brake
294167,0,0.8999999761581421,-0.009204087778925896,0.0
294168,0,0.8999999761581421,-0.007363520096987486,0.0
294169,0,0.8999999761581421,0.0028512959834188223,0.0
294170,0,0.8999999761581421,-0.020531969144940376,0.0
294171,0,0.8999999761581421,-0.0012247442500665784,0.0
294172,0,0.8999999761581421,-0.009584672749042511,0.0
294173,0,0.8999999761581421,-0.005365358199924231,0.0
294174,0,0.8999999761581421,0.0004908938426524401,0.0
294175,0,0.8999999761581421,0.0001712034863885492,0.0
294176,0,0.8999999761581421,-0.0010295656975358725,0.0
294177,0,0.8999999761581421,0.00034013151889666915,0.0
294178,0,0.8999999761581421,0.00041590482578612864,0.0
294179,0,0.8999999761581421,-0.0009266220149584115,0.0
294180,0,0.8999999761581421,-0.0008937579696066678,0.0
294181,0,0.8999999761581421,-0.0002443284320179373,0.0
294182,0,0.8999999761581421,-5.6060485803755e-05,0.0
294183,0,0.8999999761581421,-1.303793123952346e-05,0.0
294184,0,0.8999999761581421,-4.448436084203422e-05,0.0
294185,0,0.8999999761581421,1.2868786143371835e-05,0.0
294186,0,0.8999999761581421,-0.0002028547169174999,0.0
294187,0,0.8999999761581421,6.36686963844113e-05,0.0
294188,0,0.8999999761581421,-0.00015530626114923507,0.0
294189,0,0.8999999761581421,0.00033585497294552624,0.0
294190,0,0.8999999761581421,-1.3037314602115657e-05,0.0
294191,0,0.8999999761581421,0.0009564278298057616,0.0
294192,0,0.8999999761581421,0.000496075430419296,0.0
294193,0,0.8999999761581421,0.00058455002726987,0.0
294194,0,0.8999999761581421,0.0011778525076806545,0.0
294195,0,0.8999999761581421,0.0011559840058907866,0.0
294196,0,0.8999999761581421,0.0015437403926625848,0.0
294197,0,0.8999999761581421,0.0007421915652230382,0.0
294198,0,0.8999999761581421,-0.0008601201116107404,0.0
294199,0,0.8999999761581421,-0.0013462038477882743,0.0
294200,0,0.8999999761581421,-0.0020453566685318947,0.0
294201,0,0.8999999761581421,-0.0008540286216884851,0.0
294202,0,0.8999999761581421,-0.0024492028169333935,0.0
294203,0,0.8999999761581421,-0.0023725884966552258,0.0
294204,0,0.8999999761581421,-0.004036391619592905,0.0
294205,0,0.8999999761581421,-0.002424202859401703,0.0
294206,0,0.8999999761581421,-0.001446547219529748,0.0
294207,0,0.8999999761581421,-0.0014877674402669072,0.0
294208,0,0.8999999761581421,-0.002458039904013276,0.0
294209,0,0.8999999761581421,-0.001830126391723752,0.0
294210,0,0.8999999761581421,-0.0020529471803456545,0.0
294211,0,0.8999999761581421,-0.0016852780245244503,0.0
294212,0,0.8999999761581421,-0.0016282260185107589,0.0
294213,0,0.8999999761581421,-0.00100024847779423,0.0
294214,0,0.8999999761581421,-0.001949777128174901,0.0
294215,0,0.8999999761581421,-0.0023137691896408796,0.0
294216,0,0.8999999761581421,-0.0023462113458663225,0.0
294217,0,0.8999999761581421,-0.001552669913507998,0.0
294218,0,0.8999999761581421,-0.0015495734987780452,0.0
294219,0,0.8999999761581421,-0.0020941842813044786,0.0
294220,0,0.8999999761581421,-0.002781735500320792,0.0
294221,0,0.8999999761581421,-0.002119360724464059,0.0
294222,0,0.8999999761581421,-0.002372484654188156,0.0
294223,0,0.8999999761581421,-0.00236959895119071,0.0
294224,0,0.8999999761581421,-0.0024871777277439833,0.0
294225,0,0.8999999761581421,-0.003987714648246765,0.0
294226,0,0.8999999761581421,-0.0020403924863785505,0.0
294227,0,0.8999999761581421,-0.0022040167823433876,0.0
294228,0,0.8999999761581421,-0.002810938749462366,0.0
294229,0,0.8999999761581421,-0.0028118209447711706,0.0
294230,0,0.8999999761581421,-0.002555109793320298,0.0
294231,0,0.8999999761581421,-0.0011324582155793905,0.0
294232,0,0.8999999761581421,-0.0005754533922299743,0.0
294233,0,0.8999999761581421,-0.0011005441192537546,0.0
294234,0,0.8999999761581421,-0.0010281242430210114,0.0
294235,0,0.8999999761581421,-0.0010479474440217018,0.0
294236,0,0.8999999761581421,-0.0012162972707301378,0.0
294237,0,0.8999999761581421,-0.0022627150174230337,0.0
294238,0,0.8999999761581421,-0.0028048756066709757,0.0
294239,0,0.8999999761581421,-0.0028954907320439816,0.0
294240,0,0.8999999761581421,-0.0030709384009242058,0.0
294241,0,0.8999999761581421,-0.0032058560755103827,0.0
294242,0,0.8999999761581421,-0.003949248231947422,0.0
294243,0,0.8999999761581421,-0.003937831614166498,0.0
294244,0,0.8999999761581421,-0.005853445269167423,0.0
294245,0,0.8999999761581421,-0.0038908470887690783,0.0
294246,0,0.8999999761581421,-0.0034263571724295616,0.0
294247,0,0.8999999761581421,-0.0035920236259698868,0.0
294248,0,0.8999999761581421,-0.00409720279276371,0.0
294249,0,0.8999999761581421,-0.004007765557616949,0.0
294250,0,0.8999999761581421,-0.00426251906901598,0.0
294251,0,0.8999999761581421,-0.0036678870674222708,0.0
294252,0,0.8999999761581421,-0.003509501926600933,0.0
294253,0,0.8999999761581421,-0.0037515724543482065,0.0
294254,0,0.8999999761581421,-0.003603872377425432,0.0
294255,0,0.8999999761581421,-0.003149918280541897,0.0
294256,0,0.8999999761581421,-0.0033479935955256224,0.0
294257,0,0.8999999761581421,-0.0029239398427307606,0.0
294258,0,0.8999999761581421,-0.0026169726625084877,0.0
294259,0,0.8999999761581421,-0.0028571435250341892,0.0
294260,0,0.8999999761581421,-0.0033677343744784594,0.0
294261,0,0.8999999761581421,-0.003645149525254965,0.0
