ts,agent_id,x,y,z,v
294167,0,192.36241149902344,-86.26268005371094,0.5393258333206177,0.0
294168,0,192.36241149902344,-86.26268005371094,0.4919061064720154,0.0
294169,0,192.36241149902344,-86.26268005371094,0.4383743107318878,0.0
294170,0,192.36241149902344,-86.26268005371094,0.3787320554256439,0.0
294171,0,192.36241149902344,-86.26268005371094,0.31298086047172546,0.0
294172,0,192.36241149902344,-86.26268005371094,0.24112220108509064,0.0
294173,0,192.36241149902344,-86.26268005371094,0.16315768659114838,0.0
294174,0,192.36241149902344,-86.26268005371094,0.08290393650531769,0.0
294175,0,192.36241149902344,-86.26268005371094,0.026514854282140732,3.7038240255422866e-08
294176,0,192.36241149902344,-86.26268005371094,-0.008726844564080238,8.489994103950368e-08
294177,0,192.36241149902344,-86.26268005371094,-0.029134521260857582,4.3793174740631954e-08
294178,0,192.36241149902344,-86.26268005371094,-0.03932075574994087,8.6445701918855e-08
294179,0,192.36241149902344,-86.26268005371094,-0.041076697409152985,0.0002861041767678064
294180,0,192.36244201660156,-86.26265716552734,-0.03865550830960274,0.0011612490935743402
294181,0,192.36241149902344,-86.26264190673828,-0.03404334932565689,0.0004851972909172808
294182,0,192.36241149902344,-86.26263427734375,-0.028247259557247162,0.0001349524400904183
294183,0,192.36241149902344,-86.26263427734375,-0.02195255272090435,4.459290129191041e-05
294184,0,192.36241149902344,-86.26263427734375,-0.015612220391631126,0.00012742734546162957
294185,0,192.36241149902344,-86.26263427734375,-0.009513778612017632,0.00016141230632428838
294186,0,192.36244201660156,-86.26264190673828,-0.003827972337603569,0.0001697758938704501
294187,0,192.36244201660156,-86.26264190673828,0.0013550185831263661,0.00016462553165030552
294188,0,192.36244201660156,-86.26264190673828,0.006000022869557142,0.0001531054435803465
294189,0,192.36244201660156,-86.26265716552734,0.01010765042155981,0.0001395178044552636
294190,0,192.36244201660156,-86.26265716552734,0.013701400719583035,0.00012469520430492538
294191,0,192.36244201660156,-86.26265716552734,0.016817854717373848,0.00011090186724594636
294192,0,192.36245727539062,-86.26266479492188,0.01950054056942463,9.770447909768957e-05
294193,0,192.36245727539062,-86.26266479492188,0.021795349195599556,8.591458184499729e-05
294194,0,192.36245727539062,-86.26266479492188,0.023747749626636505,7.513940845566258e-05
